Day,Thủy điện,Nhiệt điện than,Tuabin khí (Gas + Dầu DO),Nhiệt điện dầu,Điện gió,ĐMT trang trại,ĐMT mái nhà (ước tính thương phẩm),ĐMT mái nhà (ước tính đầu cực),Nhập khẩu điện,"Khác (Sinh khối, Diesel Nam, …)",Carboon (tấn CO₂),Total MWh
2025-02-24,169.8,449.2,45.2,0.0,99.1,33.6,23.2,28.0,14.5,4.8,475.02,839.4
2025-03-01,147.6,498.9,60.6,0.0,32.7,57.3,42.7,46.9,13.7,4.7,533.17,858.2
2025-02-25,196.3,452.6,49.3,0.0,85.7,37.1,26.5,30.9,14.6,4.7,480.66,866.8
2025-02-27,197.6,457.0,52.9,0.0,62.8,51.1,37.5,42.3,13.2,4.9,487.08,877.0
2025-02-26,207.9,455.0,50.3,0.0,76.4,38.3,26.2,30.8,14.0,4.8,483.62,872.9
2025-02-28,169.0,485.3,57.5,0.0,48.3,55.6,41.2,45.9,12.6,4.8,517.89,874.3
2025-03-03,170.7,506.7,61.5,0.0,11.1,55.0,40.9,47.5,17.7,4.8,541.49,868.4
2025-03-05,188.9,507.0,91.7,0.0,7.9,52.4,37.7,43.4,16.8,4.9,558.41,907.3
2025-03-04,181.9,514.3,96.7,0.0,5.3,53.8,38.6,44.6,13.0,4.9,568.47,908.5
2025-03-02,111.8,486.3,40.2,0.0,23.8,52.0,36.4,44.2,17.9,4.8,509.37,773.2
2025-03-06,177.5,511.7,70.9,0.0,33.2,48.7,35.7,41.0,17.6,3.7,551.43,899.0
2025-03-10,146.7,501.1,55.0,0.0,76.9,40.7,27.0,32.4,13.9,4.3,532.21,865.6
2025-03-09,105.3,477.3,46.3,0.0,81.0,27.3,19.8,22.9,13.5,4.8,503.72,775.3
2025-03-07,150.5,500.7,59.9,0.0,82.6,45.6,32.1,37.5,15.3,3.8,534.4,890.5
2025-03-08,140.2,482.6,57.4,0.0,82.3,49.6,33.8,38.8,13.7,4.9,515.15,864.5
2025-03-11,160.9,512.6,63.7,0.0,61.8,46.4,32.1,37.6,13.9,4.4,548.51,895.8
2025-03-14,173.5,536.4,67.9,0.0,28.6,56.7,43.8,49.1,15.8,4.7,574.69,927.4
2025-03-15,176.0,538.1,59.0,0.0,15.1,56.7,37.6,45.8,16.0,4.7,571.49,903.2
2025-03-12,163.1,526.9,64.8,0.0,50.3,53.0,39.0,44.7,13.5,4.7,563.48,915.3
2025-03-13,171.1,532.6,67.9,0.0,39.2,49.5,36.9,42.5,17.1,4.7,570.89,919.0
2025-03-16,98.8,517.1,47.6,0.0,38.0,47.7,33.0,39.7,10.5,4.7,544.22,797.4
2025-03-20,131.8,504.2,70.2,0.0,81.1,44.0,31.3,37.1,14.4,4.5,543.71,881.5
2025-03-18,133.8,515.9,62.3,0.0,89.7,41.8,29.7,35.6,13.8,4.7,551.11,891.7
2025-03-17,134.4,525.3,51.3,0.0,69.8,38.2,25.2,31.1,15.5,4.7,554.46,864.4
2025-03-19,134.3,499.2,70.3,0.0,91.2,45.7,33.1,38.9,11.7,4.1,538.69,889.6
2025-03-21,139.9,507.5,69.6,0.0,58.3,49.0,35.3,41.8,17.2,4.6,546.7,881.4
2025-03-22,123.9,489.2,60.1,0.0,77.5,52.3,39.9,45.7,17.6,4.4,523.13,864.9
2025-03-24,133.5,518.6,62.3,0.0,41.0,54.6,42.7,48.3,16.6,4.3,553.73,873.6
2025-03-23,98.0,478.4,50.2,0.0,57.7,48.3,35.4,45.4,11.9,4.3,506.87,784.2
2025-03-25,137.6,566.1,68.8,0.0,17.1,48.7,37.9,43.7,17.0,4.3,604.8,897.5
2025-03-26,152.3,562.1,69.9,0.0,5.3,54.3,42.2,47.7,14.2,4.3,601.41,904.6
2025-03-30,84.5,479.0,59.7,0.0,71.0,42.4,31.7,36.7,15.7,4.2,512.67,788.2
2025-03-28,173.8,566.6,63.9,0.0,8.3,56.0,41.8,47.5,15.6,4.3,602.61,930.3
2025-03-27,163.0,565.8,60.6,0.0,10.8,55.3,41.8,47.5,14.8,4.3,599.99,916.4
2025-03-29,156.5,518.0,68.7,0.0,27.8,51.6,38.1,43.5,17.6,4.3,556.64,882.6
2025-03-31,127.5,518.1,65.5,0.0,67.0,29.9,20.0,25.1,17.2,4.2,554.97,849.4
2025-04-01,128.9,520.6,61.9,0.0,79.3,33.7,22.6,27.8,19.2,4.2,555.49,870.4
2025-04-02,129.4,494.8,75.9,0.0,83.6,37.8,26.9,32.2,17.0,4.2,537.39,869.6
2025-04-03,130.7,481.4,88.0,0.0,73.5,50.8,38.1,43.4,13.9,4.3,530.66,880.7
2025-04-04,146.7,482.2,98.1,0.0,45.7,54.4,42.1,47.4,14.3,4.2,537.0,887.7
2025-04-05,147.3,510.2,77.0,0.0,24.4,57.2,42.3,48.5,16.7,4.3,553.41,879.4
2025-04-07,96.1,406.3,64.2,0.0,52.2,43.6,37.0,45.2,12.6,4.2,442.45,716.2
2025-04-06,104.8,462.5,73.4,0.0,37.8,51.6,34.3,43.6,11.8,4.3,503.73,780.5
2025-04-08,140.4,494.8,81.1,0.0,47.8,48.5,34.2,40.3,16.3,4.2,540.25,867.3
2025-04-09,153.4,530.9,97.0,0.0,23.2,55.4,40.5,46.6,19.5,4.3,585.11,924.2
2025-04-10,162.7,555.3,103.8,0.0,11.1,45.6,30.6,37.0,16.3,3.2,613.03,928.6
2025-04-11,176.2,539.6,98.6,0.0,10.9,53.0,38.0,44.3,14.3,3.4,594.51,934.0
2025-04-12,162.6,548.9,86.1,0.0,13.6,55.8,41.3,47.1,12.9,4.3,597.12,925.5
2025-04-13,99.0,513.5,69.7,0.0,36.7,46.3,33.9,39.9,13.6,4.3,552.7,817.0
2025-04-14,142.2,515.6,76.4,0.0,41.6,53.3,38.8,44.3,15.8,3.7,558.36,887.4
2025-04-15,154.9,517.8,84.2,0.0,46.8,51.2,36.8,42.3,15.6,4.0,564.91,911.3
2025-04-16,157.5,543.1,87.3,0.0,18.8,55.0,39.9,45.6,12.1,4.2,591.96,917.9
2025-04-17,162.0,580.7,81.4,0.0,11.5,51.9,38.2,44.1,14.5,4.3,626.33,944.5
2025-04-18,182.9,577.0,75.4,0.0,14.1,53.3,39.7,45.6,15.3,4.2,619.31,961.9
2025-04-19,172.2,597.7,63.4,0.0,9.0,54.2,39.5,45.7,14.4,4.2,633.41,954.6
2025-04-20,121.8,573.7,48.2,0.0,9.3,56.3,41.1,49.2,14.4,4.2,601.05,869.0
2025-04-21,197.5,558.2,66.1,0.0,13.1,56.0,41.6,47.5,14.6,4.1,595.38,951.2
2025-04-22,195.6,584.6,71.9,0.0,11.5,54.0,38.4,43.9,14.1,3.9,624.92,974.0
2025-04-24,214.4,549.0,80.6,0.9,18.1,54.0,40.1,46.0,10.4,3.9,594.83,971.4
2025-04-23,218.1,550.8,83.4,0.6,12.4,50.0,37.6,44.1,13.7,3.9,597.93,970.5
2025-04-25,185.2,585.2,64.4,1.4,15.8,45.8,33.5,39.5,11.0,3.8,622.5,946.1
2025-04-26,180.1,591.1,46.1,0.0,12.8,48.4,34.2,41.2,13.9,3.8,617.22,930.4
2025-04-27,130.1,561.7,42.1,0.0,11.1,55.6,41.3,47.9,13.8,3.8,585.62,859.5
2025-04-29,167.7,524.7,64.1,0.0,30.8,54.0,39.9,45.7,10.2,3.8,560.72,895.2
2025-04-28,160.2,569.3,51.3,0.0,23.5,55.1,42.7,48.5,18.5,3.8,598.27,924.4
2025-04-30,132.1,386.6,48.2,0.0,42.2,46.1,28.6,47.2,8.0,3.8,413.87,695.6
2025-05-01,144.0,346.4,37.0,0.0,46.5,37.1,26.0,32.5,8.2,3.8,367.51,649.0
2025-05-02,178.0,449.6,51.2,0.0,37.6,50.7,38.4,44.4,11.3,3.8,478.52,820.6
2025-05-03,205.0,488.0,79.3,0.0,10.7,44.1,33.4,39.4,12.5,3.9,532.39,876.9
2025-05-04,179.7,497.2,59.8,0.0,6.6,48.5,35.2,42.2,12.6,3.9,530.87,843.5
2025-05-05,206.4,556.8,64.9,0.0,10.9,54.2,40.1,46.3,16.2,4.0,593.29,953.5
2025-05-06,209.9,589.6,75.3,0.0,15.6,53.1,38.9,45.5,14.7,3.2,631.65,1000.3
2025-05-07,220.3,608.7,73.5,0.0,16.3,47.5,34.4,40.7,13.8,3.1,649.75,1017.6
2025-05-09,204.0,616.3,87.5,0.0,23.8,52.1,38.4,44.6,16.6,3.1,665.04,1041.8
2025-05-08,214.4,611.0,88.5,0.0,17.4,51.9,38.2,44.6,15.2,3.1,660.29,1039.7
2025-05-10,181.2,579.1,84.9,0.0,11.3,38.8,22.0,27.4,16.2,3.1,626.42,936.6
2025-05-11,158.2,469.6,56.7,0.0,18.2,46.7,34.5,40.3,14.8,3.1,501.41,801.8
2025-05-12,188.5,541.8,57.5,0.0,17.0,42.1,29.1,35.0,13.1,3.1,574.04,892.2
2025-05-14,206.5,580.0,59.4,0.0,8.3,50.9,37.0,43.1,15.6,3.1,613.29,960.8
2025-05-13,191.0,575.2,64.8,0.0,5.4,46.3,33.7,39.7,15.6,3.1,611.46,935.1
2025-05-15,222.7,570.5,61.1,0.0,8.1,50.3,34.5,40.5,18.1,3.0,604.71,968.3
2025-05-16,223.0,555.7,69.9,0.0,11.9,52.3,40.0,46.2,21.8,3.2,594.79,977.8
2025-05-17,222.4,553.9,67.6,0.0,7.5,41.9,30.1,35.2,22.1,3.1,591.7,948.6
2025-05-18,178.4,526.6,44.3,0.0,13.3,51.8,41.1,46.3,15.1,3.1,551.59,873.7
2025-05-19,246.9,553.6,53.7,0.0,6.7,42.5,33.7,40.0,18.6,3.0,583.74,958.7
2025-05-20,302.1,512.0,55.0,0.0,5.9,51.2,36.6,42.9,23.1,3.1,542.87,989.0
2025-05-21,297.2,532.9,52.7,0.0,7.0,46.6,36.4,42.6,22.8,3.1,562.5,998.7
2025-05-22,303.0,533.3,46.1,0.0,6.3,41.5,31.7,37.8,21.3,3.1,559.27,986.3
2025-05-23,310.3,494.0,47.6,0.0,9.0,44.7,29.0,35.2,23.0,3.1,520.8,960.7
2025-05-24,302.8,444.7,47.0,0.0,10.9,37.8,26.6,32.1,19.1,3.0,471.15,891.9
2025-05-25,218.4,407.3,42.2,0.0,22.7,43.6,32.3,38.1,17.1,2.9,431.09,786.5
2025-05-26,268.2,433.2,47.3,0.0,17.6,52.6,37.5,43.3,24.5,2.9,459.79,883.8
2025-05-27,289.0,457.7,52.7,0.0,16.2,44.9,35.1,40.7,27.6,2.8,487.25,926.0
2025-05-29,301.0,472.9,54.2,0.0,19.8,34.8,23.4,29.0,21.6,2.5,503.21,930.2
2025-05-28,291.3,480.7,53.3,0.0,7.7,41.0,32.1,37.7,29.5,2.7,510.56,938.3
2025-05-30,304.3,428.5,52.7,0.0,26.2,45.7,32.5,38.1,28.6,2.3,457.94,920.8
2025-05-31,280.2,435.3,44.4,0.0,40.1,45.2,30.7,36.0,23.9,2.3,460.18,902.1
2025-06-01,230.2,426.7,41.5,0.0,54.8,50.3,19.0,45.3,24.6,2.4,450.0,849.5
2025-06-03,299.8,484.6,80.5,0.0,42.1,43.7,12.8,30.9,28.8,2.3,529.34,994.6
2025-06-02,289.8,506.0,67.2,0.0,56.8,42.3,29.1,34.5,29.1,2.3,543.42,1022.6
2025-06-04,302.6,485.0,64.5,0.0,21.3,45.5,17.0,39.3,22.8,2.4,520.96,961.1
2025-06-05,313.3,487.0,64.1,0.0,16.9,48.7,19.7,44.7,22.4,2.4,522.74,974.5
2025-06-06,312.8,513.4,66.7,0.0,19.6,42.3,17.6,40.6,21.2,2.4,550.57,996.0
2025-06-07,307.4,486.8,62.2,0.0,24.1,44.2,15.5,34.8,24.1,2.4,521.49,966.7
2025-06-08,267.1,423.2,57.5,0.0,31.5,41.0,14.6,35.1,23.8,2.3,455.28,861.0
2025-06-09,311.0,443.0,68.0,0.0,30.5,37.7,12.5,29.8,26.2,2.4,480.88,931.3
2025-06-10,347.9,417.8,68.9,0.0,31.3,32.5,10.0,25.0,28.3,2.3,456.15,939.0
2025-06-11,359.8,388.9,65.2,0.0,50.6,20.6,9.4,14.4,34.2,2.3,425.22,931.0
2025-06-13,354.5,366.5,49.9,0.0,73.6,36.2,10.8,26.6,39.5,1.7,394.28,932.7
2025-06-12,334.3,370.4,59.4,0.0,80.0,31.2,16.5,21.4,39.6,2.2,403.51,933.6
2025-06-14,355.3,381.2,51.1,0.0,50.1,42.5,25.1,29.9,36.4,1.7,409.64,943.4
2025-06-15,314.7,374.3,47.5,0.0,24.8,50.9,41.9,47.1,36.3,2.4,400.91,892.8
2025-06-16,373.0,392.9,51.4,0.0,15.1,51.2,20.5,46.1,32.7,2.5,421.67,939.3
2025-06-18,402.8,418.1,55.0,0.0,11.0,48.1,16.0,37.0,29.9,2.2,448.79,983.1
2025-06-17,404.0,390.8,57.2,0.0,14.0,50.3,18.6,42.3,30.7,2.6,422.78,968.2
2025-06-19,403.4,436.0,48.2,0.0,16.9,47.5,18.4,41.9,30.3,1.8,462.87,1002.5
2025-06-20,411.6,412.3,48.5,0.0,20.2,45.1,36.2,42.1,30.0,2.5,439.48,1006.4
2025-06-21,399.8,375.0,32.6,0.0,20.0,50.2,20.1,44.1,29.1,2.3,393.39,929.1
2025-06-23,409.0,372.8,30.5,0.0,23.7,48.1,19.5,42.9,29.8,2.2,390.01,935.6
2025-06-22,340.9,336.4,26.8,0.0,27.1,41.7,15.9,36.2,29.3,2.3,351.6,820.4
2025-06-24,419.2,404.4,36.9,0.0,23.7,45.1,19.1,42.1,30.7,2.1,425.12,981.2
2025-06-25,434.9,400.9,41.0,0.0,19.9,39.1,13.9,31.7,31.4,2.2,423.89,983.3
2025-06-26,429.8,378.0,50.4,0.0,24.6,42.1,14.6,33.2,30.3,2.2,406.16,972.0
2025-06-27,431.1,336.7,55.1,0.0,26.9,43.7,16.4,36.7,32.6,2.3,367.46,944.8
2025-06-28,413.3,310.4,44.4,0.0,36.7,47.1,35.9,40.1,33.4,2.3,335.28,923.5
2025-06-29,338.6,296.4,38.1,0.0,38.9,43.4,17.2,39.3,27.8,2.6,317.87,803.0
2025-06-30,406.1,328.0,40.2,0.0,33.5,47.3,39.1,44.4,28.9,2.7,350.65,925.8
2025-07-01,426.8,323.1,49.9,0.0,27.2,39.3,31.0,36.3,27.1,2.8,351.11,927.2
2025-07-03,439.0,298.4,56.0,0.0,28.5,44.5,15.8,36.9,29.1,3.7,329.94,915.0
2025-07-02,428.6,315.3,58.0,0.0,22.4,42.8,16.5,38.2,29.4,3.5,347.9,916.5
2025-07-04,439.9,306.9,53.4,0.0,28.3,45.0,18.1,41.5,27.8,3.7,337.01,923.1
2025-07-05,450.3,302.9,50.3,0.0,34.0,45.0,16.9,39.1,27.2,3.4,331.25,930.0
2025-07-06,399.2,282.1,45.5,0.0,37.4,43.5,16.1,38.4,22.9,3.2,307.76,849.9
2025-07-07,427.7,324.9,50.6,0.0,38.8,46.7,16.7,38.0,33.7,3.1,353.35,942.2
2025-07-08,431.8,351.3,55.5,0.0,52.1,49.8,18.9,42.4,33.3,3.1,382.44,995.8
2025-07-09,420.4,371.7,73.5,0.0,63.3,46.5,17.8,40.3,37.1,3.1,412.75,1033.4
2025-07-10,411.8,359.4,60.8,0.0,67.0,47.9,18.9,42.4,37.9,3.1,393.46,1006.8
2025-07-11,414.7,338.9,49.3,0.0,62.3,46.2,16.6,37.8,36.7,2.8,366.57,967.5
2025-07-12,425.9,335.4,41.9,0.0,30.0,48.0,18.5,42.4,32.7,2.8,359.0,935.2
2025-07-13,378.4,322.2,40.6,0.0,21.6,46.1,11.2,39.5,27.6,2.8,345.09,850.5
2025-07-14,434.7,356.6,47.6,0.0,21.8,48.2,17.0,38.5,31.4,2.8,383.34,960.1
2025-07-15,444.2,357.0,51.6,0.0,33.0,47.4,17.7,39.8,31.0,2.9,385.96,984.8
2025-07-16,437.5,362.4,51.9,0.4,47.2,46.1,16.2,36.9,32.2,3.1,391.88,997.0
2025-07-17,446.4,373.4,58.7,0.0,34.2,47.9,16.6,37.5,32.7,3.2,406.32,1013.1
2025-07-18,442.1,383.5,74.6,0.1,51.4,41.8,15.1,34.6,35.3,3.2,425.25,1047.1
2025-07-19,403.9,351.1,66.6,0.0,66.2,38.9,26.7,31.7,32.7,3.2,388.37,989.3
2025-07-20,333.6,285.3,43.6,0.0,78.3,33.7,10.0,24.9,26.9,3.1,309.9,814.5
2025-07-21,344.7,308.2,48.3,0.0,97.2,38.3,12.0,29.2,36.0,3.0,335.37,887.7
2025-07-22,330.2,295.8,51.3,0.0,94.1,40.7,15.1,35.3,34.0,3.1,324.63,864.3
2025-07-23,410.5,299.3,53.2,0.0,71.2,46.5,18.1,41.5,33.8,3.0,329.16,935.6
2025-07-24,432.1,312.8,53.8,0.0,63.3,34.6,28.9,34.1,38.0,3.0,342.99,966.5
2025-07-25,440.1,308.4,54.4,0.0,55.9,42.1,17.2,39.7,35.1,3.0,338.92,956.2
2025-07-26,444.2,295.0,46.2,0.0,59.7,35.3,13.2,31.9,35.7,3.1,321.03,932.4
2025-07-27,400.1,251.0,45.2,0.0,70.7,36.3,10.3,26.8,32.5,3.0,276.46,849.1
2025-07-28,427.3,295.1,56.0,0.0,75.1,42.0,14.6,33.7,39.3,3.0,326.5,952.4
2025-07-29,441.7,342.4,57.2,0.0,88.6,40.7,16.6,37.7,40.6,3.0,374.46,1030.8
2025-07-30,434.7,375.4,55.0,0.0,81.4,44.2,16.9,38.2,37.9,3.1,406.27,1048.6
2025-07-31,393.2,372.8,71.6,0.0,67.7,44.3,18.2,40.9,35.5,3.1,412.8,1006.4
2025-08-01,396.9,373.0,55.2,0.0,66.3,50.6,21.0,46.4,38.5,3.2,404.0,1004.7
2025-08-02,407.3,390.9,47.3,0.0,53.5,53.2,20.0,48.5,35.0,3.2,417.55,1010.4
2025-08-03,369.4,365.4,54.6,0.0,53.5,52.2,12.5,49.3,36.5,3.2,396.07,947.3
2025-08-04,369.4,365.4,54.6,0.0,53.5,52.2,12.5,49.3,36.5,3.2,396.07,947.3
2025-08-14,440.7,402.7,52.3,0.0,22.8,46.5,16.0,41.4,31.0,3.0,432.06,1015.0
2025-08-17,353.1,309.7,23.5,0.0,29.6,35.0,12.5,34.6,27.8,2.3,323.08,793.5
